Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,75.75757576,24.24242424,1224,1224,33,25,8,0,0,0,8,0,0,8,0,0,0,0,sg_1
HDR,8.32632464,91.67367536,1224,1224,1189,99,1090,0,57,24,1046,20,8,1025,16,21,0,0,sg_1
Reference,26.92307692,73.07692308,1312,1300,52,14,38,0,10,9,38,0,0,19,0,10,9,0,sg_2
HDR,0.0,100.0,1312,1300,1202,0,1202,0,40,56,1202,0,0,1110,0,36,52,4,sg_2
Reference,2.22222222,97.77777778,1542,1542,90,2,88,0,2,0,88,0,0,86,0,2,0,0,sg_3
HDR,1.6540317,98.3459683,1542,1542,1451,24,1427,0,0,0,1427,0,0,1427,0,0,0,0,sg_3
Reference,4.04411765,95.95588235,2037,1967,272,11,261,0,136,97,218,0,0,125,43,39,0,54,sg_4
HDR,0.0,100.0,2037,1967,1614,0,1614,0,87,9,1613,0,1,1518,0,87,8,0,sg_4
Reference,96.73629243,3.26370757,1543,1534,1532,1482,50,0,6,3,42,6,2,41,0,0,1,0,sg_5
HDR,100.0,0.0,1543,1534,1,1,0,0,0,0,0,0,0,0,0,0,0,0,sg_5
Reference,42.33687405,57.66312595,1350,1348,1318,558,760,0,0,14,759,0,1,746,0,0,13,0,sg_6
HDR,0.0,100.0,1350,1348,29,0,29,0,0,0,29,0,0,29,0,0,0,0,sg_6
Reference,61.4330462,38.5669538,2872,2872,2554,1569,985,0,3,21,963,3,19,961,0,0,2,0,sg_7
HDR,12.93375394,87.06624606,2872,2872,317,41,276,0,0,0,276,0,0,276,0,0,0,0,sg_7
Reference,95.63369397,4.36630603,2855,2855,2588,2475,113,0,0,4,109,0,4,109,0,0,0,0,sg_8
HDR,94.33962264,5.66037736,2855,2855,265,250,15,0,0,0,15,0,0,15,0,0,0,0,sg_8
Reference,10.01890359,89.98109641,2947,2947,529,53,476,0,41,48,415,16,35,398,10,14,2,1,sg_9
HDR,0.0,100.0,2947,2947,2400,0,2400,0,0,12,2400,0,0,2388,0,0,12,0,sg_9
Reference,1.89125296,98.10874704,1694,1694,846,16,830,0,37,21,798,19,8,777,5,13,8,0,sg_10
HDR,0.0,100.0,1694,1694,847,0,847,0,0,1,847,0,0,846,0,0,1,0,sg_10
Reference,26.30057803,73.69942197,3702,3701,346,91,255,0,15,19,223,14,18,221,0,1,1,0,sg_11
HDR,0.05963029,99.94036971,3702,3701,3354,2,3352,0,0,1,3352,0,0,3351,0,0,1,0,sg_11
Reference,56.14035088,43.85964912,1921,1908,114,64,50,0,0,0,50,0,0,50,0,0,0,0,sg_12
HDR,7.10259301,92.89740699,1921,1908,1774,126,1648,0,42,18,1638,0,0,1606,10,24,0,8,sg_12
Reference,46.34146341,53.65853659,1211,1205,328,152,176,0,0,0,176,0,0,176,0,0,0,0,sg_13
HDR,19.08571429,80.91428571,1211,1205,875,167,708,0,0,1,708,0,0,707,0,0,1,0,sg_13
Reference,0.84175084,99.15824916,2790,2782,594,5,589,0,15,18,576,0,11,563,2,8,0,5,sg_14
HDR,0.0,100.0,2790,2782,2147,0,2147,0,7,10,2147,0,0,2130,0,7,10,0,sg_14
Reference,20.51835853,79.48164147,1390,1390,463,95,368,0,4,0,368,0,0,364,0,4,0,0,sg_15
HDR,43.21389794,56.78610206,1390,1390,921,398,523,0,0,0,523,0,0,523,0,0,0,0,sg_15
Reference,80.0,20.0,10,10,5,4,1,0,0,0,1,0,0,1,0,0,0,0,sg_16
HDR,0.0,100.0,10,10,4,0,4,0,0,2,4,0,0,2,0,0,2,0,sg_16
Reference,81.6,18.4,2607,2577,125,102,23,0,3,2,21,0,2,18,0,3,0,0,sg_17
HDR,50.99502488,49.00497512,2607,2577,2412,1230,1182,0,33,10,1156,25,1,1139,0,8,9,0,sg_17
Reference,4.58015267,95.41984733,2330,2317,131,6,125,0,34,17,91,17,17,74,0,17,0,0,sg_18
HDR,0.0,100.0,2330,2317,2178,0,2178,0,1,22,2178,0,0,2155,0,1,22,0,sg_18
Reference,0.65789474,99.34210526,975,974,152,1,151,0,44,34,141,0,0,83,10,34,24,0,sg_19
HDR,0.0,100.0,975,974,780,0,780,0,28,13,780,0,0,739,0,28,13,0,sg_19
Reference,47.82608696,52.17391304,1446,1446,46,22,24,0,21,1,11,13,0,3,0,7,0,1,sg_20
HDR,92.48927039,7.51072961,1446,1446,1398,1293,105,0,4,9,97,0,4,96,4,0,1,0,sg_20
Reference,75.75757576,24.24242424,1451,1451,33,25,8,0,5,0,3,5,0,3,0,0,0,0,sg_21
HDR,82.06214689,17.93785311,1451,1451,1416,1162,254,0,0,20,235,0,19,234,0,0,1,0,sg_21
Reference,48.45360825,51.54639175,1512,1509,97,47,50,0,20,9,32,11,0,30,7,0,0,2,sg_22
HDR,3.40909091,96.59090909,1512,1509,1408,48,1360,0,32,25,1341,19,0,1310,0,6,18,7,sg_22
Reference,14.02714932,85.97285068,1640,1640,221,31,190,0,50,35,146,17,9,131,18,7,0,8,sg_23
HDR,1.13798009,98.86201991,1640,1640,1406,16,1390,0,39,23,1376,8,0,1346,6,13,5,12,sg_23
Reference,1.66320166,98.33679834,1899,1899,1443,24,1419,0,65,38,1406,9,0,1334,4,38,20,14,sg_24
HDR,0.22026432,99.77973568,1899,1899,454,1,453,0,0,0,453,0,0,453,0,0,0,0,sg_24
Reference,19.24959217,80.75040783,1358,1354,613,118,495,0,7,9,488,0,0,486,7,0,2,0,sg_25
HDR,3.51351351,96.48648649,1358,1354,740,26,714,0,0,0,714,0,0,714,0,0,0,0,sg_25
Reference,95.72697003,4.27302997,2425,2425,1802,1725,77,0,0,22,55,0,22,55,0,0,0,0,sg_26
HDR,87.29903537,12.70096463,2425,2425,622,543,79,0,0,0,79,0,0,79,0,0,0,0,sg_26
Reference,41.77631579,58.22368421,2641,2641,912,381,531,0,6,2,525,6,0,523,0,0,2,0,sg_27
HDR,43.72446001,56.27553999,2641,2641,1713,749,964,0,1,13,958,0,6,950,0,1,7,0,sg_27
Reference,5.01841621,94.98158379,2224,2224,2172,109,2063,0,8,12,2063,0,0,2043,0,8,12,0,sg_28
HDR,0.0,100.0,2224,2224,52,0,52,0,0,0,52,0,0,52,0,0,0,0,sg_28
Reference,19.0652819,80.9347181,1901,1901,1348,257,1091,0,11,0,1085,6,0,1080,0,5,0,0,sg_29
HDR,70.40441176,29.59558824,1901,1901,544,383,161,0,0,1,160,0,1,160,0,0,0,0,sg_29
Reference,7.52688172,92.47311828,913,912,465,35,430,0,19,5,428,2,0,411,0,12,0,5,sg_30
HDR,0.0,100.0,913,912,428,0,428,0,0,1,428,0,0,427,0,0,1,0,sg_30
Reference,3.64422483,96.35577517,2383,2382,1619,59,1560,0,129,37,1497,46,0,1425,17,52,6,14,sg_31
HDR,0.0,100.0,2383,2382,750,0,750,0,0,0,750,0,0,750,0,0,0,0,sg_31
Reference,12.01629328,87.98370672,3239,3239,982,118,864,0,31,19,834,11,0,833,19,1,0,0,sg_32
HDR,0.31305903,99.68694097,3239,3239,2236,7,2229,0,10,12,2229,0,0,2210,0,7,9,3,sg_32
